External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.09, 101659.39, 0.29,-0.61, 9.64, 6854
25.09, 101658.34, 0.23,-0.56, 9.62, 6866
25.09, 101658.34, 0.23,-0.57, 9.66, 6870
25.09, 101658.34, 0.25,-0.52, 9.71, 6875
25.09, 101658.34, 0.27,-0.56, 9.67, 6880
25.09, 101658.34, 0.19,-0.54, 9.62, 6885
25.09, 101658.34, 0.23,-0.50, 9.56, 6890
25.09, 101658.06, 0.27,-0.57, 9.41, 6895
25.09, 101658.06, 0.21,-0.67, 9.46, 6900
25.09, 101658.06, 0.25,-0.61, 9.50, 6905
25.09, 101658.06, 0.27,-0.59, 9.56, 6910
25.09, 101658.06, 0.25,-0.52, 9.60, 6915
25.09, 101658.06, 0.33,-0.52, 9.62, 6920
25.09, 101658.06, 0.23,-0.52, 9.54, 6925
25.09, 101655.53, 0.23,-0.54, 9.60, 6930
25.09, 101655.53, 0.17,-0.59, 9.66, 6935
25.09, 101655.53, 0.23,-0.54, 9.60, 6940
25.09, 101655.53, 0.27,-0.56, 9.60, 6945
25.09, 101655.53, 0.23,-0.52, 9.60, 6950
25.09, 101655.53, 0.19,-0.61, 9.64, 6955
25.09, 101655.53, 0.23,-0.56, 9.62, 6960
25.09, 101656.85, 0.19,-0.57, 9.69, 6965
25.09, 101656.85, 0.19,-0.57, 9.69, 6970
25.09, 101656.85, 0.15,-0.56, 9.69, 6975
25.09, 101656.85, 0.19,-0.57, 9.62, 6980
25.09, 101656.85, 0.21,-0.50, 9.64, 6985
25.09, 101656.85, 0.19,-0.50, 9.66, 6990
25.09, 101656.85, 0.17,-0.52, 9.60, 6995
25.09, 101653.62, 0.15,-0.52, 9.69, 7000
25.09, 101653.62, 0.29,-0.56, 9.67, 7005
25.09, 101653.62, 0.31,-0.56, 9.60, 7010
25.09, 101653.62, 0.25,-0.52, 9.41, 7015
25.09, 101653.62, 0.19,-0.52, 9.50, 7020
25.09, 101653.62, 0.17,-0.56, 9.60, 7025
25.09, 101653.62, 0.19,-0.54, 9.64, 7030
25.09, 101656.91, 0.19,-0.57, 9.64, 7035
25.09, 101656.91, 0.15,-0.54, 9.66, 7040
25.09, 101656.91, 0.25,-0.57, 9.60, 7045
25.09, 101656.91, 0.21,-0.52, 9.66, 7050
25.09, 101656.91, 0.25,-0.54, 9.60, 7055
25.09, 101656.91, 0.19,-0.54, 9.66, 7060
25.09, 101656.91, 0.21,-0.54, 9.66, 7065
25.09, 101658.06, 0.23,-0.57, 9.60, 7070
25.09, 101658.06, 0.25,-0.61, 9.62, 7075
25.09, 101658.06, 0.19,-0.59, 9.66, 7080
25.09, 101658.06, 0.23,-0.59, 9.66, 7085
25.09, 101658.06, 0.27,-0.54, 9.69, 7090
25.09, 101658.06, 0.21,-0.54, 9.67, 7095
25.09, 101658.06, 0.15,-0.48, 9.67, 7100
25.09, 101659.72, 0.21,-0.48, 9.62, 7105
25.09, 101659.72, 0.15,-0.65, 9.60, 7110
25.09, 101659.72, 0.21,-0.57, 9.62, 7115
25.09, 101659.72, 0.21,-0.46, 9.77, 7120
25.09, 101659.72, 0.23,-0.54, 9.67, 7125
25.09, 101659.72, 0.17,-0.56, 9.81, 7130
25.09, 101659.72, 0.19,-0.56, 9.81, 7135
25.09, 101656.09, 0.19,-0.54, 9.69, 7140
25.09, 101656.09, 0.23,-0.59, 9.69, 7145
25.09, 101656.09, 0.29,-0.57, 9.69, 7150
25.09, 101656.09, 0.21,-0.57, 9.64, 7155
25.09, 101656.09, 0.27,-0.57, 9.71, 7160
25.09, 101656.09, 0.21,-0.54, 9.66, 7165
25.09, 101656.09, 0.25,-0.54, 9.66, 7170
25.09, 101657.84, 0.23,-0.57, 9.62, 7175
25.09, 101657.84, 0.23,-0.57, 9.73, 7180
25.09, 101657.84, 0.27,-0.59, 9.60, 7185
